ID	d1	Topic	d1	Telugu	d1	English	d1	Clue	d1	Image	d1	Sound
1	|	Animals_1	|	పిపిలికాహారి	|	aardvark	|	పిపిలికాహారి_క్లూ	|	aardvark.jpg	|	aardvark.wav
2	|	Animals_1	|	మొసలి 	|	alligator	|	మొసలి_క్లూ	|	alligator.jpg	|	alligator.wav
3	|	Animals_1	|	చీమ	|	ant	|	చీమ_క్లూ	|	ant.jpg	|	ant.wav
4	|	Animals_1	|	తోక లేని కోతి	|	ape	|	తోక లేని కోతి_క్లూ	|	ape.jpg	|	ape.wav
5	|	Animals_1	|	నఖ మృగము	|	armadillo	|	నఖ మృగము_క్లూ	|	armadillo.jpg	|	armadillo.wav
6	|	Animals_1	|	గండు కోతి	|	baboon	|	గండు కోతి_క్లూ	|	baboon.jpg	|	baboon.wav
7	|	Animals_1	|	చిన్న ఎలుగు 	|	badger	|	చిన్న ఎలుగు_క్లూ	|	badger.jpg	|	badger.wav
8	|	Animals_1	|	పందికొక్కు 	|	badicoot	|	పందికొక్కు_క్లూ	|	badicoot.jpg	|	badicoot.wav
9	|	Animals_1	|	గబ్బిలము 	|	bat	|	గబ్బిలము_క్లూ	|	bat.jpg	|	bat.wav
10	|	Animals_1	|	ఎలుగుబంటి 	|	bear	|	ఎలుగుబంటి_క్లూ	|	bear.jpg	|	bear.wav
11	|	Animals_1	|	నల్లి	|	bed bug	|	నల్లి_క్లూ	|	bed bug.jpg	|	bed bug.wav
12	|	Animals_1	|	తేనెటీగ 	|	bee	|	తేనెటీగ_క్లూ	|	bee.jpg	|	bee.wav
13	|	Animals_1	|	కుమ్మరి పురుగు 	|	beetle	|	కుమ్మరి పురుగు_క్లూ	|	beetle.jpg	|	beetle.wav
14	|	Animals_1	|	ఎద్దు 	|	bison	|	ఎద్దు _క్లూ	|	bison.jpg	|	bison.wav
15	|	Animals_1	|	నల్ల కొంగ	|	black necked stork	|	నల్ల కొంగ_క్లూ	|	black necked stork.jpg	|	black necked stork.wav
16	|	Animals_1	|	కొండ చిలువ 	|	boa	|	కొండ చిలువ_క్లూ	|	boa.jpg	|	boa.wav
17	|	Animals_1	|	లేడి 	|	buck	|	లేడి_క్లూ	|	buck.jpg	|	buck.wav
18	|	Animals_1	|	గేదె & దున్న 	|	buffalo	|	గేదె & దున్న_క్లూ	|	buffalo.jpg	|	buffalo.wav
19	|	Animals_1	|	నల్లి 	|	bug	|	నల్లి_క్లూ	|	bug.jpg	|	bug.wav
